"","Jurkat","KMBC2","MCF7","231"
"A0A0B4J2F2;P57059",0.0884,-4.36,-1.97,-2.68
"A0A1B0GTU1;O75152",-1.62,-3.44,-0.598,-2.17
"A0A1B0GUS4;P68036",-2.4,-4.12,-1.91,-1.81
"A0A5B9;P0DSE2;P0DTU4;P01850",-1.22,-0.643,-0.145,-0.35
"A0AV02",0.0884,-0.643,-0.145,-0.35
"A0AV96",0.0884,-0.94,-2.65,-0.35
"A0AVF1",-0.465,-2.53,-0.145,-0.35
"A0AVK6",-0.319,-5.05,-0.145,-4.39
"A0AVT1",-2.62,-5.13,-1.2,-1.89
"A0FGR8",-0.594,-1.5,-0.348,-0.807
"A0JLT2",-1.59,-3.17,-2.51,-3.57
"A0JNW5",0.0884,-2.19,-0.145,-2.16
"A0MZ66",-0.745,-4.37,-1.42,-2.19
"A0PJW6",0.0884,-0.643,-0.145,-0.35
"A0PK00",0.0884,-0.643,-0.145,-0.35
"A1A4S6",0.0884,-2.04,-0.145,-0.35
"A1A5D9",0.0884,0.443,-0.145,-0.35
"A1IGU5",0.0884,-3,-0.145,-0.35
"A1KZ92",0.0884,-0.643,-0.145,-0.35
"A1L020",-2.93,-0.643,-0.145,-0.35
"A1L020;Q6ZN04",-2.18,-0.643,-0.145,-0.35
"A1L0T0",-1.95,-1.54,-1.75,-1.57
"A1L170",0.0884,-0.643,-0.145,-0.35
"A1L390",0.0884,-2.37,-1.03,-0.0536
"A1X283",-1.97,-3.69,-1.24,-1.66
"A1YPR0",0.0884,-6.5,-0.145,-0.35
"A2A3N6;Q99755",0.0884,-1.53,-0.145,-2.27
"A2RRP1",-1.97,-2.82,-0.393,-1.67
"A2RTX5",0.0884,-1.73,1.16,-0.35
"A2RTX5;P26639",-1.15,-2.89,-1.17,-1.38
"A2RUB6",-3.98,-0.643,-0.145,-0.35
"A3KMH1",-1.56,-1.49,-1.61,-2.43
"A3KN83",-4.03,-4.36,-1.6,-4.18
"A4D1E9",0.444,-1.46,-0.145,-0.00507
"A4D1P6",-2.74,-3.69,-1.03,-1.83
"A4D1S5",0.0884,-2.12,-0.145,-0.35
"A4D1U4",0.0884,-0.643,-0.145,-0.35
"A4D2H0;Q86UF2;Q96RT6;Q96PC5",0.0884,-4.46,0.924,-0.35
"A5D8V6",0.0884,-2.27,-0.145,-1.52
"A5PLL7",0.0884,-0.643,-0.145,-0.35
"A5PLN9",-0.77,-0.958,-0.145,-0.882
"A5YKK6",-2.56,-1.86,-0.469,-1.26
"A6NDB9",0.0884,-0.643,-0.145,-0.35
"A6NDG6",-1.27,-0.643,-1.16,-1.9
"A6NDU8",-3.51,-1.74,-2.31,-3.74
"A6NEC2;P55786",-2.49,-1.99,-0.533,-0.848
"A6NEL2",0.0884,-0.643,-0.145,-0.35
"A6NFQ2",0.0884,-3.31,-0.145,-0.35
"A6NHR9",-3.22,-2.23,-0.724,-2.19
"A6NIE6;Q9NYV6",-1.99,-1.73,-2.36,-2.94
"A6NIZ1;P61224",-2.47,-5.45,-2.05,-3.07
"A6NIZ1;P62834;P61224",-1.5,-1.21,-0.281,-0.963
"A6NKD9",-5.11,-3.55,-0.308,-3.24
"A6NMZ7",0.0884,-0.643,-0.145,-0.35
"A6NNY8;Q9UPT9",-4.3,-4.66,-4.31,-5.81
"A6QL63",-0.651,-0.643,-0.145,-0.35
"A7E2V4",-1.94,-2.53,-3.31,-3.76
"A7KAX9",-0.925,-4.7,-0.145,-0.35
"A8K2U0",-0.339,0.653,1.1,3.13
"A8K8P3",-7.37,-5.52,-0.145,-0.35
"A8MPP1;Q96FC9",-3.94,-4.86,-2.61,-2.71
"A8MPS7",-1.6,-0.643,-0.145,-0.35
"A8MW92",-2.49,-2.57,-0.145,-3.57
"A8MXV4",-0.573,-1.06,-0.145,-3.89
"A8MZ36;Q92817",0.0884,-4.7,-4.07,-0.35
"A9UHW6",-3.84,-3.6,-2.26,-2.31
"B0I1T2",-1.69,1.48,0.964,-0.669
"B1AK53",0.0884,-0.643,0.857,-0.35
"B2RPK0;P09429",-2.3,-2.57,-0.902,-1.9
"B2RPK0;P09429;P23497",-1.35,-1.31,-2.03,-1.45
"B7ZAQ6;P0CG08",0.0884,-3.64,-1.86,-3.47
"C9J069",0.0884,-0.643,-0.145,-0.35
"C9JLW8",-3.24,-2.26,1.09,-2.09
"E5RIL1;B0FP48",-1.05,-1.81,0.308,-0.35
"E9PAV3;Q13765",-2.63,-1.82,-0.913,-1.79
"E9PRG8",-0.389,-0.759,-0.176,-1.21
"L0R6Q1",0.0884,-2.05,0.685,-0.211
"O00116",-0.151,-1.43,2.18,-1.02
"O00124",0.0884,-0.643,-0.145,-0.35
