"OFFICIAL_GENE_SYMBOL","Original ID","Value","Gene Name","Species"
"AACS","Q86V21","","acetoacetyl-CoA synthetase(AACS)","Homo sapiens"
"AAGAB","Q6PD74","","alpha and gamma adaptin binding protein(AAGAB)","Homo sapiens"
"AARD","Q4LEZ3","","alanine and arginine rich domain containing protein(AARD)","Homo sapiens"
"AARSD1","Q9BTE6","","alanyl-tRNA synthetase domain containing 1(AARSD1)","Homo sapiens"
"ABAT","P80404","","4-aminobutyrate aminotransferase(ABAT)","Homo sapiens"
"ABCA12","Q86UK0","","ATP binding cassette subfamily A member 12(ABCA12)","Homo sapiens"
"ABCA3","Q99758","","ATP binding cassette subfamily A member 3(ABCA3)","Homo sapiens"
"ABCB6","Q9NP58","","ATP binding cassette subfamily B member 6 (LAN blood group)(ABCB6)","Homo sapiens"
"ABCB7","O75027","","ATP binding cassette subfamily B member 7(ABCB7)","Homo sapiens"
"ABCB8","Q9NUT2","","ATP binding cassette subfamily B member 8(ABCB8)","Homo sapiens"
"ABCC10","Q5T3U5","","ATP binding cassette subfamily C member 10(ABCC10)","Homo sapiens"
"ABCC11","Q96J66","","ATP binding cassette subfamily C member 11(ABCC11)","Homo sapiens"
"ABCC5","O15440","","ATP binding cassette subfamily C member 5(ABCC5)","Homo sapiens"
"ABCC9","O60706","","ATP binding cassette subfamily C member 9(ABCC9)","Homo sapiens"
"ABCD4","O14678","","ATP binding cassette subfamily D member 4(ABCD4)","Homo sapiens"
"ABCF1","Q8NE71","","ATP binding cassette subfamily F member 1(ABCF1)","Homo sapiens"
"ABCG2","Q9UNQ0","","ATP binding cassette subfamily G member 2 (JR blood group)(ABCG2)","Homo sapiens"
"ABHD12","Q8N2K0","","abhydrolase domain containing 12, lysophospholipase(ABHD12)","Homo sapiens"
"ABHD13","Q7L211","","abhydrolase domain containing 13(ABHD13)","Homo sapiens"
"ABHD16A","O95870","","abhydrolase domain containing 16A, phospholipase(ABHD16A)","Homo sapiens"
"ABHD17B","Q5VST6","","abhydrolase domain containing 17B, depalmitoylase(ABHD17B)","Homo sapiens"
"ABHD17C","Q6PCB6","","abhydrolase domain containing 17C, depalmitoylase(ABHD17C)","Homo sapiens"
"ABHD2","P08910","","abhydrolase domain containing 2, acylglycerol lipase(ABHD2)","Homo sapiens"
"ABI2","Q9NYB9","","abl interactor 2(ABI2)","Homo sapiens"
"ACAA2","P42765","","acetyl-CoA acyltransferase 2(ACAA2)","Homo sapiens"
"ACAD10","Q6JQN1","","acyl-CoA dehydrogenase family member 10(ACAD10)","Homo sapiens"
"ACADM","P11310","","acyl-CoA dehydrogenase medium chain(ACADM)","Homo sapiens"
"ACADVL","P49748","","acyl-CoA dehydrogenase very long chain(ACADVL)","Homo sapiens"
"ACOT1","Q86TX2","","acyl-CoA thioesterase 1(ACOT1)","Homo sapiens"
"ACOT2","P49753","","acyl-CoA thioesterase 2(ACOT2)","Homo sapiens"
"ACOT9","Q9Y305","","acyl-CoA thioesterase 9(ACOT9)","Homo sapiens"
"ACSL1","P33121","","acyl-CoA synthetase long chain family member 1(ACSL1)","Homo sapiens"
"ACSL6","Q9UKU0","","acyl-CoA synthetase long chain family member 6(ACSL6)","Homo sapiens"
"ACSS1","Q9NUB1","","acyl-CoA synthetase short chain family member 1(ACSS1)","Homo sapiens"
"ACSS2","Q9NR19","","acyl-CoA synthetase short chain family member 2(ACSS2)","Homo sapiens"
"ACTBL2","Q562R1","","actin beta like 2(ACTBL2)","Homo sapiens"
"ACTN1","P12814","","actinin alpha 1(ACTN1)","Homo sapiens"
"ACTN2","P35609","","actinin alpha 2(ACTN2)","Homo sapiens"
"ACTN3","Q08043","","actinin alpha 3(ACTN3)","Homo sapiens"
"ACTN4","O43707","","actinin alpha 4(ACTN4)","Homo sapiens"
"ACTR1A","P61163","","actin related protein 1A(ACTR1A)","Homo sapiens"
"ACTR1B","P42025","","actin related protein 1B(ACTR1B)","Homo sapiens"
"ACTR5","Q9H9F9","","actin related protein 5(ACTR5)","Homo sapiens"
"ADAM17","P78536","","ADAM metallopeptidase domain 17(ADAM17)","Homo sapiens"
"ADCK1","Q86TW2","","aarF domain containing kinase 1(ADCK1)","Homo sapiens"
"ADCK5","Q3MIX3","","aarF domain containing kinase 5(ADCK5)","Homo sapiens"
"ADCY2","Q08462","","adenylate cyclase 2(ADCY2)","Homo sapiens"
"ADCY5","O95622","","adenylate cyclase 5(ADCY5)","Homo sapiens"
"ADCY6","O43306","","adenylate cyclase 6(ADCY6)","Homo sapiens"
"ADGRG1","Q9Y653","","adhesion G protein-coupled receptor G1(ADGRG1)","Homo sapiens"
"ADGRV1","Q8WXG9","","adhesion G protein-coupled receptor V1(ADGRV1)","Homo sapiens"
"ADH1C","P00326","","alcohol dehydrogenase 1C (class I), gamma polypeptide(ADH1C)","Homo sapiens"
"ADI1","Q9BV57","","acireductone dioxygenase 1(ADI1)","Homo sapiens"
"ADIPOR2","Q86V24","","adiponectin receptor 2(ADIPOR2)","Homo sapiens"
"ADPGK","Q9BRR6","","ADP dependent glucokinase(ADPGK)","Homo sapiens"
"AFAP1L2","Q8N4X5","","actin filament associated protein 1 like 2(AFAP1L2)","Homo sapiens"
"AGPAT2","O15120","","1-acylglycerol-3-phosphate O-acyltransferase 2(AGPAT2)","Homo sapiens"
"AGPAT3","Q9NRZ7","","1-acylglycerol-3-phosphate O-acyltransferase 3(AGPAT3)","Homo sapiens"
"AGPAT5","Q9NUQ2","","1-acylglycerol-3-phosphate O-acyltransferase 5(AGPAT5)","Homo sapiens"
"AGTRAP","Q6RW13","","angiotensin II receptor associated protein(AGTRAP)","Homo sapiens"
"AHCYL2","Q96HN2","","adenosylhomocysteinase like 2(AHCYL2)","Homo sapiens"
"AHNAK2","Q8IVF2","","AHNAK nucleoprotein 2(AHNAK2)","Homo sapiens"
"AIF1L","Q9BQI0","","allograft inflammatory factor 1 like(AIF1L)","Homo sapiens"
"AJM1","C9J069","","apical junction component 1 homolog(AJM1)","Homo sapiens"
"AK3","Q9UIJ7","","adenylate kinase 3(AK3)","Homo sapiens"
"AKAP12","Q02952","","A-kinase anchoring protein 12(AKAP12)","Homo sapiens"
"AKAP8L","Q9ULX6","","A-kinase anchoring protein 8 like(AKAP8L)","Homo sapiens"
"AKR1A1","P14550","","aldo-keto reductase family 1 member A1(AKR1A1)","Homo sapiens"
"AKR1B10","O60218","","aldo-keto reductase family 1 member B10(AKR1B10)","Homo sapiens"
"AKR1C1","Q04828","","aldo-keto reductase family 1 member C1(AKR1C1)","Homo sapiens"
"AKR1C2","P52895","","aldo-keto reductase family 1 member C2(AKR1C2)","Homo sapiens"
"AKR1C3","P42330","","aldo-keto reductase family 1 member C3(AKR1C3)","Homo sapiens"
"AKR7A3","O95154","","aldo-keto reductase family 7 member A3(AKR7A3)","Homo sapiens"
"AKR7L","Q8NHP1","","aldo-keto reductase family 7 like (gene/pseudogene)(AKR7L)","Homo sapiens"
"AKT1","P31749","","AKT serine/threonine kinase 1(AKT1)","Homo sapiens"
"AKT2","P31751","","AKT serine/threonine kinase 2(AKT2)","Homo sapiens"
"AKTIP","Q9H8T0","","AKT interacting protein(AKTIP)","Homo sapiens"
"ALDH1A1","P00352","","aldehyde dehydrogenase 1 family member A1(ALDH1A1)","Homo sapiens"
"ALDH1A2","O94788","","aldehyde dehydrogenase 1 family member A2(ALDH1A2)","Homo sapiens"
"ALDH1A3","P47895","","aldehyde dehydrogenase 1 family member A3(ALDH1A3)","Homo sapiens"
