"","x"
"1","O00264"
"2","O14939"
"3","O15031"
"4","O15066"
"5","O15260"
"6","O15514"
"7","O15525"
"8","O43294"
"9","O43865"
"10","O60292"
"11","O60583"
"12","O60678"
"13","O60762"
"14","O75081"
"15","O75116;Q13464"
"16","O75787"
"17","O75820"
"18","O75844"
"19","O75925"
"20","O94941"
"21","O95239;Q2VIQ3"
"22","P00367"
"23","P04637"
"24","P08579;P09012"
"25","P08670;P17661"
"26","P08758;ANXA5_HUMAN"
"27","P09669"
"28","P10914"
"29","P11172"
"30","P12074"
"31","P15407"
"32","P22087"
"33","P30291"
"34","P33316"
"35","P37231"
"36","P42330"
"37","P42345"
"38","P43246"
"39","P46063"
"40","P47985"
"41","P48960"
"42","P50336"
"43","P52294"
"44","P52333"
"45","P55210"
"46","P56377"
"47","P56945"
"48","P61020;P20339;P51148"
"49","P61513"
"50","P62266"
"51","P82663"
"52","P84022"
"53","Q04828;P42330"
"54","Q07617"
"55","Q08380"
"56","Q13112"
"57","Q13554;Q9UQM7;Q13557"
"58","Q14315"
"59","Q15596"
"60","Q15652"
"61","Q15788"
"62","Q16831"
"63","Q2M3G4"
"64","Q4L180"
"65","Q53H96"
"66","Q56P03"
"67","Q5J8M3"
"68","Q5T447"
"69","Q5T5U3"
"70","Q641Q2;Q9Y4E1"
"71","Q6BDS2"
"72","Q6NVY1"
"73","Q6P158"
"74","Q6P9B6"
"75","Q6R327"
"76","Q6ZN28"
"77","Q7L273"
"78","Q7Z736"
"79","Q86VX2"
"80","Q8IZE3"
"81","Q8N1G0"
"82","Q8NBS9"
"83","Q8NCY6"
"84","Q8NF64"
"85","Q8TCG2"
"86","Q8TD06"
"87","Q8WUF8"
"88","Q8WVM7"
"89","Q8WXF1"
"90","Q92665"
"91","Q92734"
"92","Q92889"
"93","Q96A35"
"94","Q96AX9"
"95","Q96FS4"
"96","Q96HI0"
"97","Q96NE9"
"98","Q96P47"
"99","Q96S99"
"100","Q99504"
"101","Q9BTC8;Q13330"
"102","Q9BTX1"
"103","Q9BUH6"
"104","Q9BXK1"
"105","Q9BXL7"
"106","Q9BY50"
"107","Q9BYX2"
"108","Q9BZ29"
"109","Q9BZF1"
"110","Q9BZK7"
"111","Q9C0B5"
"112","Q9C0C2"
"113","Q9H0C5"
"114","Q9H0W9"
"115","Q9H1D9"
"116","Q9H7Z3"
"117","Q9H8W4"
"118","Q9NQA3;A8K0Z3;A8MWX3;C4AMC7;Q6VEQ5"
"119","Q9NQW7"
"120","Q9NVP2"
"121","Q9NWV8"
"122","Q9NX74"
"123","Q9NZN3;Q9H4M9"
"124","Q9P086"
"125","Q9P0V9"
"126","Q9P260"
"127","Q9P2X0"
"128","Q9UBW7"
"129","Q9UDW1"
"130","Q9UHR4"
"131","Q9UK59"
"132","Q9UK99"
"133","Q9ULT8"
"134","Q9Y2A7"
"135","Q9Y2H0"
"136","Q9Y315"
"137","Q9Y5P4"
"138","Q9Y5Z7"
"139","Q9Y6X3"
