"","x"
"1","A6NNY8;Q9UPT9"
"2","A8MXV4"
"3","E9PRG8"
"4","O00391"
"5","O00488"
"6","O00716"
"7","O14682"
"8","O14880"
"9","O15013"
"10","O15287"
"11","O15344"
"12","O43314"
"13","O43432"
"14","O43609"
"15","O60315"
"16","O60518"
"17","O75419"
"18","O75526;P38159"
"19","O75717"
"20","O75718"
"21","O94763"
"22","O94804"
"23","O94972"
"24","O95299"
"25","O95352"
"26","O95402"
"27","O95678"
"28","O95865"
"29","P00966"
"30","P01130"
"31","P02533;P08727"
"32","P05787;O95678"
"33","P06241"
"34","P08572"
"35","P08670"
"36","P08727"
"37","P0DMP2;P0DJJ0;O75044"
"38","P0DP91;Q03468"
"39","P0DTU3;P0DSE1;P01848"
"40","P10909"
"41","P11274"
"42","P13994"
"43","P16455"
"44","P17026"
"45","P20393;Q14995"
"46","P21359"
"47","P22676"
"48","P23368"
"49","P23588"
"50","P27658"
"51","P28562"
"52","P29279"
"53","P29992"
"54","P30043"
"55","P30530"
"56","P33947"
"57","P35398"
"58","P41091"
"59","P41161"
"60","P41229"
"61","P41229;Q9BY66"
"62","P43121"
"63","P43268"
"64","P48436"
"65","P48436;P57073;P56693"
"66","P49593"
"67","P50479"
"68","P50549"
"69","P51826"
"70","P53667"
"71","P54646"
"72","P55327"
"73","P56559"
"74","P57729"
"75","P60484"
"76","P60983"
"77","P61927"
"78","P62699"
"79","P62701"
"80","P62753"
"81","P63261;P62736;P68032;Q562R1;P60709;P63267"
"82","P68400"
"83","P82921"
"84","P84074;P37235"
"85","P98082"
"86","Q01130;Q9BRL6"
"87","Q01954"
"88","Q06190"
"89","Q12766"
"90","Q12894"
"91","Q12929"
"92","Q12980"
"93","Q13077"
"94","Q13084"
"95","Q13115"
"96","Q13322"
"97","Q13608"
"98","Q13637"
"99","Q13884"
"100","Q14118"
"101","Q14195"
"102","Q14318"
"103","Q14393"
"104","Q14533;A6NCN2;O43790;P78385;KRHB1_HUMAN;KRHB3_HUMAN;KRHB6_HUMAN"
"105","Q147X3"
"106","Q14938"
"107","Q15276"
"108","Q15678"
"109","Q15776"
"110","Q16665"
"111","Q16763"
"112","Q16864"
"113","Q16875"
"114","Q2TAZ0"
"115","Q4U2R6"
"116","Q58WW2"
"117","Q5HYI8"
"118","Q5SRE7"
"119","Q5VTB9"
"120","Q5XUX1"
"121","Q658P3"
"122","Q68D91"
"123","Q6IA69"
"124","Q6MZP7"
"125","Q6N063"
"126","Q6NYC1"
"127","Q6PCB5"
"128","Q6ZNB6"
"129","Q6ZW31"
"130","Q7L311"
"131","Q7Z353"
"132","Q86UP3"
"133","Q86UT6"
"134","Q86UY8"
"135","Q86VY4"
"136","Q86W34"
"137","Q86WQ0"
"138","Q86YV5"
"139","Q8IUX7"
"140","Q8IV08"
"141","Q8IWA4"
"142","Q8IXQ6"
"143","Q8IYM9"
"144","Q8IYR2"
"145","Q8IYT2"
"146","Q8IZQ1"
"147","Q8N1I0"
"148","Q8N392"
"149","Q8N3C7"
"150","Q8N3Y1"
"151","Q8N5G2"
"152","Q8N668"
"153","Q8N8R7"
"154","Q8NFZ0"
"155","Q8NI77"
"156","Q8TBC5"
"157","Q8TCN5"
"158","Q8TCY9"
"159","Q8TDM6"
"160","Q8TEV9"
"161","Q8TF76"
"162","Q8WTS1"
"163","Q8WUI4"
"164","Q8WVM0"
"165","Q92466"
"166","Q92604"
"167","Q92784"
"168","Q92786"
"169","Q92828"
"170","Q92870"
"171","Q96AV8"
"172","Q96BW1"
"173","Q96C12"
"174","Q96CB9"
"175","Q96CT2"
"176","Q96CX2"
"177","Q96DC7"
"178","Q96GS4"
"179","Q96L93"
"180","Q96MX6"
"181","Q96P53"
"182","Q96PK6"
"183","Q96PU8"
"184","Q96QE3"
"185","Q96QE5"
"186","Q96S82"
"187","Q99456;P08727"
"188","Q9BU61"
"189","Q9BV20"
"190","Q9BW91"
"191","Q9BXF6"
"192","Q9BXR0"
"193","Q9BZF1;Q9H0X9"
"194","Q9C004"
"195","Q9C075"
"196","Q9C0B1"
"197","Q9C0H5"
"198","Q9H0M0;Q96J02"
"199","Q9H4L5"
"200","Q9H5X1"
"201","Q9H869"
"202","Q9HB07"
"203","Q9HC16"
"204","Q9HC78"
"205","Q9HCJ5"
"206","Q9HCN4"
"207","Q9NP64"
"208","Q9NP92"
"209","Q9NQC1"
"210","Q9NVI7"
"211","Q9NWY4;A8MVJ9"
"212","Q9NZJ4"
"213","Q9NZN3"
"214","Q9P1Z2"
"215","Q9P291"
"216","Q9UBK9"
"217","Q9UDY8"
"218","Q9UHD9"
"219","Q9UID6"
"220","Q9UIS9"
"221","Q9UKV5"
"222","Q9UKY1"
"223","Q9ULD9"
"224","Q9ULH1"
"225","Q9UMN6"
"226","Q9UN81"
"227","Q9UPW5"
"228","Q9Y261"
"229","Q9Y291"
"230","Q9Y2L5"
"231","Q9Y2S2"
"232","Q9Y3D3"
"233","Q9Y3D8"
"234","Q9Y4B5"
"235","Q9Y4F1"
"236","Q9Y546"
"237","Q9Y6M5"
"238","Q14533;A6NCN2;O43790;P78385;K2M1_SHEEP;K2M2_SHEEP;KRHB1_HUMAN;KRHB3_HUMAN;KRHB6_HUMAN"
